hhid,areaid,treatment,hh_edu,hh_gender,hh_size,children,old_biz,area_pop_base,area_debt_total_base,area_business_total_base,area_exp_pc_mean_base,area_literate_head_base,area_literate_base,anyloan_amt_2,informal_amt_2,female_biz_pct_2,hours_week_2,durables_exp_mo_2,temptation_exp_mo_2,total_exp_mo_2,bizprofit_2,bizrev_2,bizemployees_2,girls_school_2,bizassets_2
2539,43,0,0.0,1.0,2.0,0.0,0.0,3,0,2,2,1,3,3000.0,2498.9367856955796,,60.0,347.07455,0.0,12867.024,0.0,0.0,0.0,0.0,0.0
2540,43,0,1.0,1.0,3.0,1.0,1.0,3,0,2,2,1,3,0.0,0.0,0.0,117.0,402.60648,0.0,5480.863,1032.8939,1407.7344,0.0,,2165.745
2541,43,0,0.0,1.0,1.0,2.0,0.0,3,0,2,2,1,3,,,,,,,,,,,,
2542,43,0,0.0,1.0,2.0,1.0,1.0,3,0,2,2,1,3,12000.0,0.0,0.0,118.0,159.6543,249.89368,4952.6147,-12494.684,0.0,0.0,,2582.2346
2543,43,0,0.0,1.0,2.0,2.0,0.0,3,0,2,2,1,3,51000.0,832.9789285651932,,60.0,277.65964,166.59578,9917.725,0.0,0.0,0.0,0.0,0.0
2544,43,0,0.0,1.0,2.0,2.0,1.0,3,0,2,2,1,3,10000.0,0.0,0.5,72.0,239.48145,666.3831,7163.063,0.0,0.0,0.0,,0.0
2545,43,0,0.0,1.0,1.0,2.0,0.0,3,0,2,2,1,3,2000.0,0.0,,40.0,83.29789,1640.9685,4903.7466,0.0,0.0,0.0,1.0,0.0
2546,43,0,1.0,0.0,2.0,0.0,1.0,3,0,2,2,1,3,,,,,,,,,,,,
2547,43,0,0.0,1.0,1.0,1.0,0.0,3,0,2,2,1,3,70000.0,41648.94642825966,1.0,96.0,159.6543,0.0,10007.409,997.0758,1166.1705,0.0,1.0,3748.4053
2548,43,0,0.0,1.0,1.0,0.0,0.0,3,0,2,2,1,3,67600.0,4664.681999965082,0.0,48.0,1214.7609,1166.1705,6757.125,4123.2456,7496.8105,2.0,,0.0
2549,43,0,0.0,1.0,2.0,2.0,1.0,3,0,2,2,1,3,15000.0,4164.894642825966,1.0,123.0,194.36176,0.0,8465.981,7416.844,7496.8105,0.0,,3206.969
2550,43,0,1.0,1.0,2.0,1.0,0.0,3,0,2,2,1,3,40000.0,0.0,,99.0,194.36176,899.61725,9616.049,0.0,0.0,0.0,,0.0
2551,43,0,0.0,1.0,1.0,1.0,0.0,3,0,2,2,1,3,,,,,,,,,,,,
2552,43,0,0.0,1.0,2.0,1.0,0.0,3,0,2,2,1,3,5000.0,0.0,,48.0,555.3193,0.0,16199.496,0.0,0.0,0.0,1.0,0.0
2553,43,0,0.0,1.0,2.0,2.0,0.0,3,0,2,2,1,3,110000.0,48312.777856781206,,99.0,347.07455,716.3619,7505.6963,0.0,0.0,0.0,1.0,0.0
2554,43,0,1.0,0.0,3.0,2.0,0.0,3,0,2,2,1,3,,,,,,,,,,,,
2555,43,0,0.0,1.0,3.0,3.0,0.0,3,0,2,2,1,3,301000.0,209077.7110698635,,216.0,2662.0618,907.947,16058.446,0.0,0.0,0.0,1.0,0.0
